Comune,Nome Palestra,Indirizzo Completo,Latitudine,Longitudine
Casier,"Bamboo Fitness","Via Alessandro Volta, 12/A, Dosson di Casier",,
Casale sul Sile,"H.O.G. Fitness","Viale delle Industrie, 6, Casale sul Sile",,
Ponzano Veneto,"ASD Kalèidos","Via Dogi, 1, Ponzano Veneto",,
Carbonera,"C.S. Artistic Gym","Via G. Garibaldi, 1, Carbonera",,
Nervesa della Battaglia,"Centro Sportivo HOF","Via Luigi Carrer, 7, Nervesa della Battaglia",,
Giavera del Montello,"Campo OCR FIT POINT","Via delle Industrie, 1, Giavera del Montello",,
Paderno del Grappa,"Istituti Filippin","Via Cardinal la Fontaine, 2, Paderno del Grappa",,
Possagno,"Palestra Comunale","Via degli Impianti Sportivi, 7, Possagno",,
Castelfranco Veneto,"FitUP Castelfranco Veneto","Via dei Tigli, 25/A, Castelfranco Veneto",,
Castelfranco Veneto,"Happy Fit Castelfranco","Via delle Industrie, 18, Castelfranco Veneto",,
Castelfranco Veneto,"DG Club Castelfranco","Via dei Tigli, 30, Castelfranco Veneto",,
Castelfranco Veneto,"Kinesis Palestra","Via dei Tigli, 15/A, Castelfranco Veneto",,
Resana,"Happy Fit Resana","Via dell'Industria, 12, Resana",,
Castello di Godego,"Palestra Comunale","Via degli Sportivi, 8, Castello di Godego",,
Loria,"Happy Fit Loria","Via dell'Artigianato, 7, Loria",,
Loria,"ASD Polisportiva Loria","Via dello Sport, 3, Loria",,
Riese Pio X,"Palestra Comunale","Via degli Impianti, 5, Riese Pio X",,
Maserada sul Piave,"Palestra Comunale","Via dello Sport, 12, Maserada sul Piave",,
Breda di Piave,"Palestra Comunale","Via degli Sportivi, 20, Breda di Piave",,
San Zenone degli Ezzelini,"Palestra Comunale","Via degli Impianti, 3, San Zenone degli Ezzelini",,
Valdobbiadene,"Palestra Comunale","Via degli Impianti, 4, Valdobbiadene",,
Miane,"Palestra Comunale","Via degli Sportivi, 8, Miane",,
Follina,"Palestra Comunale","Via degli Impianti, 2, Follina",,
Cison di Valmarino,"Palestra Comunale","Via Roma, 15, Cison di Valmarino",,
Refrontolo,"Palestra Comunale","Via degli Sportivi, 5, Refrontolo",,
Pieve di Soligo,"Palestra Comunale","Via degli Impianti, 10, Pieve di Soligo",,
Farra di Soligo,"Palestra Comunale","Via Roma, 30, Farra di Soligo",,
San Pietro di Feletto,"Palestra Comunale","Via degli Sportivi, 12, San Pietro di Feletto",,
Susegana,"Palestra Comunale","Via degli Impianti, 6, Susegana",,
Sernaglia della Battaglia,"Palestra Comunale","Via degli Sportivi, 9, Sernaglia della Battaglia",,
Conegliano,"Sportway","Via Feltrina Sud, 189, Conegliano",,
Colle Umberto,"Energy Fitness ASD","Viale dell'Artigianato, 12, Colle Umberto",,
San Fior,"Palestra Arcostruttura","Via I. Mel, 6, San Fior",,
Ponte di Piave,"Active Ponte ASD","Piazza Walter Tobagi, Ponte di Piave",,
