Zona,Comune,Nome Palestra,Indirizzo,Latitudine,Longitudine,Indirizzo Completo,Stato
1,Treviso,FitActive Treviso,"Viale IV Novembre, 93/A, Treviso",45.6622556,12.270513,"93a, Viale Quattro Novembre, Fiera, Treviso, Veneto, 31100, Italia",OK
1,Treviso,Show Club La Ghirada,"Via Nascimben, 1/B, Treviso",45.6447938,12.2337191,"Golf Club I Salici, 1b, Via Nascimben, Borgo Mestre, Treviso, Veneto, 31100, Italia",OK
1,Treviso,My Gym City,"Via Terraglio, 156, Treviso",45.6450469,12.2412064,"156, Via Terraglio, San Lazzaro, Treviso, Veneto, 31100, Italia",OK
1,Treviso,Strada Facendo Indoor,"Via Tommaso Salsa, 2/A, Treviso",45.6790442,12.2546822,"Via Tommaso Salsa, Santa Maria del Rovere, Treviso, Veneto, 31100, Italia",OK
1,Treviso,Canoa Club Sile,"Via Antonio Borin, 48/L, Treviso",45.6585213,12.2822492,"Via Antonio Borin, Molino Mandelli, Treviso, Veneto, 31100, Italia",OK
1,Treviso,Palestra Sports Team Treviso,Treviso,45.8066913,12.2063158,"Treviso, Veneto, Italia",OK
1,Villorba,Renton Fitness,"Via Roma, 47, Villorba",45.7159584,12.2569542,"Via Roma, Carità, Villorba, Treviso, Veneto, 31020, Italia",OK
1,Villorba,K Fitness Club,"Via Thomas Alva Edison, 119/121, Villorba",45.7246905,12.2505756,"Via Thomas Alva Edison, Villorba, Treviso, Veneto, 31020, Italia",OK
1,Villorba,Biverso Fitness Lab,"Viale della Repubblica, 22, Villorba",45.6914375,12.2502371,"Viale della Repubblica, Fontane Chiesa Vecchia, Villorba, Treviso, Veneto, 31020, Italia",OK
1,Villorba,Park Tennis Villorba,"Via Fratelli Rosselli, 30, Villorba",45.724805,12.2445005,"Via Fratelli Rosselli, Villorba, Treviso, Veneto, 31020, Italia",OK
1,Villorba,Palestra Sport Evolution,Villorba,45.7292486,12.2562455,"Villorba, Treviso, Veneto, 31020, Italia",OK
1,Mogliano Veneto,CIAO Fitness House,"Via Ronzinella, 99/B, Mogliano Veneto",45.5537776,12.2607119,"Via Ronzinella, Mazzocco, Mogliano Veneto, Treviso, Veneto, 31021, Italia",OK
1,Mogliano Veneto,Teen Eleven Evolution,"Via Prà dei Roveri, 4, Mogliano Veneto",45.5588554,12.2344721,"Via Prà dei roveri, Olme, Mogliano Veneto, Treviso, Veneto, 31021, Italia",OK
1,Mogliano Veneto,Centro Sportivo Via Torni,"Via Torni, 51, Mogliano Veneto",45.5573548,12.2656444,"Via Torni, Mazzocco, Mogliano Veneto, Treviso, Veneto, 31021, Italia",OK
1,Mogliano Veneto,Polisportiva Mogliano,"Via Erminio Ferretto, 2, Mogliano Veneto",45.5542812,12.2474664,"Via Erminio Ferretto, Olme, Mogliano Veneto, Treviso, Veneto, 31021, Italia",OK
1,Mogliano Veneto,Fitness Avenue,Mogliano Veneto,45.5676503,12.2446906,"Mogliano Veneto, Treviso, Veneto, 31021, Italia",OK
1,Paese,Vitanova Fitness,"Via Postumia, 153, Paese",45.6703643,12.1756686,"Via Postumia, Case Corrente, Paese, Treviso, Veneto, 31038, Italia",OK
1,Paese,FitUP Paese,Paese,45.6999302,12.1491918,"Paese, Treviso, Veneto, 31038, Italia",OK
1,Silea,Dream Studio,"Via Treviso, 29, Silea",45.6568034,12.2858556,"Via Treviso, Lanzago, Silea, Treviso, Veneto, 31057, Italia",OK
1,Silea,Papy Academy,"Via Treviso, 34, Silea",45.6532169,12.2941107,"Via Treviso, Case Mestriner, Silea, Treviso, Veneto, 31057, Italia",OK
1,Silea,MoveLab Climbing,Silea,45.641207,12.3236653,"Silea, Treviso, Veneto, 31057, Italia",OK
1,Silea,Sportler Climbing Center,"Via Combattenti Alleati, 1, Silea",45.6513174,12.3059681,"Via Combattenti Alleati, Case Massarotto, Silea, Treviso, Veneto, 31057, Italia",OK
1,Preganziol,Fit And Go,"Via Terraglio, 243/A, Preganziol",45.5779946,12.2330595,"Via Terraglio, Sambughè, Preganziol, Treviso, Veneto, 31022, Italia",OK
1,Preganziol,Polisportiva Preganziol,"Via Giacomo Matteotti, 2, Preganziol",45.599421,12.2396648,"Via Giacomo Matteotti, La Croce, Preganziol, Treviso, Veneto, 31022, Italia",OK
1,Preganziol,Phision,"Via Terraglio, 166, Preganziol",45.5779946,12.2330595,"Via Terraglio, Sambughè, Preganziol, Treviso, Veneto, 31022, Italia",OK
1,Casier,Bamboo Fitness,"Via Alessandro Volta, 12/A, Dosson di Casier",,,,NON TROVATO
1,Casier,Polisportiva Casier,"Via Enrico Fermi, 1, Dosson di Casier",45.6311718,12.2587751,"Via Enrico Fermi, Case Cadamuro, Dosson, Casier, Treviso, Veneto, 31030, Italia",OK
1,Casale sul Sile,H.O.G. Fitness,"Viale delle Industrie, 6, Casale sul Sile",,,,NON TROVATO
1,Casale sul Sile,Aquafit,"Via Belvedere, 59, Casale sul Sile",45.6045041,12.3381271,"Via Belvedere, Vignale Rivalta, Casale sul Sile, Treviso, Veneto, 31032, Italia",OK
1,Casale sul Sile,Polisportiva Casale,Casale sul Sile,45.6054663,12.3117069,"Casale sul Sile, Treviso, Veneto, 31032, Italia",OK
1,Ponzano Veneto,ASD AREA,"Via Piave, 1/B, Ponzano Veneto",45.7036091,12.219804,"Calisthenics Treviso, 1b, Via Piave, Zanella, Ponzano, Ponzano Veneto, Treviso, Veneto, 31050, Italia",OK
1,Ponzano Veneto,ASD Kalèidos,"Via Dogi, 1, Ponzano Veneto",,,,NON TROVATO
1,Carbonera,C.S. Artistic Gym,"Via G. Garibaldi, 1, Carbonera",,,,NON TROVATO
1,Carbonera,Volley Carbonera ASD,"Via Primo Maggio, 56, Carbonera",45.6846131,12.2862153,"Via Primo Maggio, Castello, Carbonera, Treviso, Veneto, 31030, Italia",OK
1,Quinto di Treviso,QuintoSenso,"Via Zagaria, 2/20, Quinto di Treviso",45.627691,12.1729246,"Via Zagaria, Zecchina, Quinto di Treviso, Treviso, Veneto, 31055, Italia",OK
1,Quinto di Treviso,Energym Sport e Benessere,"Via San Cassiano, 27, Quinto di Treviso",45.6510023,12.1601377,"Via San Cassiano, Quinto di Treviso, Treviso, Veneto, 31055, Italia",OK
1,Quinto di Treviso,Remedium Medical Hub,"Via Postumia, 12, Quinto di Treviso",45.6693322,12.1794346,"Via Postumia, Quinto di Treviso, Treviso, Veneto, 31055, Italia",OK
1,Zero Branco,FitUP Zero Branco,"Via Treviso, 19, Zero Branco",45.6165377,12.1659412,"Via Treviso, Pegoraro, Zero Branco, Treviso, Veneto, 31059, Italia",OK
1,Zero Branco,La Fenice ASD,"Via G. Taliercio, 5, Zero Branco",45.5930161,12.154091,"Via G. Taliercio, Zona Industriale di Zero Branco, Macello, Zero Branco, Treviso, Veneto, 31059, Italia",OK
1,Roncade,Baobab Fitness Club,"Via Tintoretto, 22, Roncade",45.6383402,12.3841198,"Via Tintoretto, Zona Industriale Roncade, Roncade, Treviso, Veneto, 31056, Italia",OK
1,Roncade,Roncade Basket ASD,Roncade,45.615262,12.3944188,"Roncade, Treviso, Veneto, 31056, Italia",OK
1,Monastier di Treviso,Rosa Blu Village,"Via Pisani, 12, Monastier di Treviso",45.653064,12.4095842,"Via Pisani, Chiesa Vecchia, Monastier di Treviso, Treviso, Veneto, 31050, Italia",OK
1,Monastier di Treviso,Polisportiva Monastier '88,"Via XXV Aprile, Monastier di Treviso",45.6480243,12.4359246,"Via Venticinque Aprile, Botter, Monastier di Treviso, Treviso, Veneto, 31050, Italia",OK
1,Arcade,Centro Acquamagia,"Via Roma, 155, Arcade",45.7827173,12.2236423,"Via Roma, Mulinella, Arcade, Treviso, Veneto, 31030, Italia",OK
